sheet_number,branch_index,center_x,center_y,angle_rad,angle_deg,width,height,start_station,end_station,v1_x,v1_y,v2_x,v2_y,v3_x,v3_y,v4_x,v4_y
S001,1,2302191.928,648404.855,0.00000000,0.0000,900.000,600.000,0.000,0.000,2301741.928,648104.855,2302641.928,648104.855,2302641.928,648704.855,2301741.928,648704.855
S002,1,2301291.928,648404.855,0.00000000,0.0000,900.000,600.000,0.000,0.000,2300841.928,648104.855,2301741.928,648104.855,2301741.928,648704.855,2300841.928,648704.855
S003,1,2301291.928,649004.855,0.00000000,0.0000,900.000,600.000,0.000,0.000,2300841.928,648704.855,2301741.928,648704.855,2301741.928,649304.855,2300841.928,649304.855
S004,1,2300391.928,648404.855,0.00000000,0.0000,900.000,600.000,0.000,0.000,2299941.928,648104.855,2300841.928,648104.855,2300841.928,648704.855,2299941.928,648704.855
S005,1,2300391.928,649004.855,0.00000000,0.0000,900.000,600.000,0.000,0.000,2299941.928,648704.855,2300841.928,648704.855,2300841.928,649304.855,2299941.928,649304.855
S006,1,2299491.928,649004.855,0.00000000,0.0000,900.000,600.000,0.000,0.000,2299041.928,648704.855,2299941.928,648704.855,2299941.928,649304.855,2299041.928,649304.855
S007,1,2299491.928,648404.855,0.00000000,0.0000,900.000,600.000,0.000,0.000,2299041.928,648104.855,2299941.928,648104.855,2299941.928,648704.855,2299041.928,648704.855
S008,1,2298591.928,649004.855,0.00000000,0.0000,900.000,600.000,0.000,0.000,2298141.928,648704.855,2299041.928,648704.855,2299041.928,649304.855,2298141.928,649304.855
S009,1,2298591.928,648404.855,0.00000000,0.0000,900.000,600.000,0.000,0.000,2298141.928,648104.855,2299041.928,648104.855,2299041.928,648704.855,2298141.928,648704.855
S010,1,2297691.928,649004.855,0.00000000,0.0000,900.000,600.000,0.000,0.000,2297241.928,648704.855,2298141.928,648704.855,2298141.928,649304.855,2297241.928,649304.855
S011,1,2297691.928,649604.855,0.00000000,0.0000,900.000,600.000,0.000,0.000,2297241.928,649304.855,2298141.928,649304.855,2298141.928,649904.855,2297241.928,649904.855
S012,1,2296791.928,649004.855,0.00000000,0.0000,900.000,600.000,0.000,0.000,2296341.928,648704.855,2297241.928,648704.855,2297241.928,649304.855,2296341.928,649304.855
S013,1,2296791.928,649604.855,0.00000000,0.0000,900.000,600.000,0.000,0.000,2296341.928,649304.855,2297241.928,649304.855,2297241.928,649904.855,2296341.928,649904.855
S014,1,2295891.928,649604.855,0.00000000,0.0000,900.000,600.000,0.000,0.000,2295441.928,649304.855,2296341.928,649304.855,2296341.928,649904.855,2295441.928,649904.855
S015,1,2295891.928,649004.855,0.00000000,0.0000,900.000,600.000,0.000,0.000,2295441.928,648704.855,2296341.928,648704.855,2296341.928,649304.855,2295441.928,649304.855
S016,1,2295891.928,648404.855,0.00000000,0.0000,900.000,600.000,0.000,0.000,2295441.928,648104.855,2296341.928,648104.855,2296341.928,648704.855,2295441.928,648704.855
